City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,mehamn,71.0357,27.8492,275.12,75,20,10.29,NO,1675822517
197,kaitangata,-46.2817,169.8464,288.1,49,11,6.88,NZ,1675823050
198,green river,41.5286,-109.4662,270.37,95,6,2.34,US,1675823257
199,chuzhou,32.3219,118.2978,281.73,54,100,6.54,CN,1675823258
200,shelburne,44.0787,-80.2041,274.57,95,100,6.17,CA,1675823260
201,baymak,52.5933,58.3225,253.92,99,84,2.47,RU,1675823261
202,yulara,-25.2406,130.9889,308.73,18,0,3.01,AU,1675823262
203,mayo,38.8876,-76.5119,282.18,80,20,3.6,US,1675823263
204,rawson,-43.3002,-65.1023,291.8,60,3,2.85,AR,1675823264
205,marquette,46.5333,-87.6335,270.84,78,98,1.34,US,1675823265
206,bethel,41.3712,-73.414,276.35,79,100,1.54,US,1675823204
207,chunskiy,56.0815,99.6342,260.42,96,100,1.25,RU,1675823267
208,yankton,42.8711,-97.3973,274.88,80,0,0.0,US,1675823268
209,egvekinot,66.3167,-179.1667,243.66,87,87,3.78,RU,1675822828
210,touros,-5.1989,-35.4608,298.97,72,100,5.36,BR,1675823249
211,tarime,-1.35,34.3667,290.58,81,98,0.73,TZ,1675823271
212,longyearbyen,78.2186,15.6401,269.06,80,40,9.26,SJ,1675823272
213,santa vitoria do palmar,-33.5189,-53.3681,295.14,76,44,3.73,BR,1675823274
214,okhotsk,59.3833,143.3,249.14,80,89,5.4,RU,1675822787
215,olga,43.7444,135.2892,268.5,50,100,3.44,RU,1675823276
216,shakhtinsk,49.71,72.5872,251.05,100,100,1.65,KZ,1675823277
217,tateyama,34.9833,139.8667,284.87,71,100,6.65,JP,1675823211
218,bilibino,68.0546,166.4372,236.71,98,100,1.0,RU,1675823279
219,novo aripuana,-5.1206,-60.3797,296.08,97,100,0.98,BR,1675823280
220,shagonar,51.5333,92.8,247.91,98,99,0.77,RU,1675823281
221,stornoway,58.2093,-6.3865,281.13,79,100,16.98,GB,1675823283
222,tasiilaq,65.6145,-37.6368,255.24,37,0,12.66,GL,1675823284
223,rakiv lis,51.6217,24.9243,268.44,96,18,1.85,UA,1675823285
224,saint-joseph,-21.3667,55.6167,297.36,80,70,6.26,RE,1675823287
225,lata,40.1629,-8.3327,282.08,80,33,2.1,PT,1675823288
226,dwarka,22.2394,68.9678,293.94,69,52,3.97,IN,1675823289
227,cherskiy,68.75,161.3,239.37,96,100,2.46,RU,1675823290
228,rawah,34.4816,41.9093,280.25,67,95,3.02,IQ,1675823292
229,upernavik,72.7868,-56.1549,243.06,96,48,1.79,GL,1675823293
230,garowe,8.4054,48.4845,291.77,92,36,3.07,SO,1675823294
231,westport,41.1415,-73.3579,279.14,81,100,1.54,US,1675822546
232,khorixas,-20.3667,14.9667,291.26,53,25,1.73,NA,1675823296
233,iqaluit,63.7506,-68.5145,239.0,68,40,2.06,CA,1675823297
234,isangel,-19.55,169.2667,303.21,79,100,1.54,VU,1675822860
235,sao filipe,14.8961,-24.4956,293.22,69,18,4.82,CV,1675822779
236,bheramara,24.0232,88.9925,293.09,37,4,1.33,BD,1675823300
237,milagres,-7.3133,-38.9456,298.58,40,93,1.11,BR,1675823301
238,wajima,37.4,136.9,277.53,100,75,1.03,JP,1675823303
239,lichinga,-13.3128,35.2406,289.45,95,99,1.38,MZ,1675823304
240,ialibu,-6.2821,143.9935,293.84,71,89,1.67,PG,1675823305
241,semenivka,52.1783,32.5818,262.22,96,12,2.15,UA,1675823306
242,clyde river,70.4692,-68.5914,238.28,68,0,2.06,CA,1675823307
243,petropavlovsk-kamchatskiy,53.0452,158.6483,263.48,48,20,2.0,RU,1675823060
244,alice springs,-23.7,133.8833,307.9,40,40,6.17,AU,1675823309
245,ornskoldsvik,63.2909,18.7153,271.68,93,75,1.03,SE,1675823310
246,khatanga,71.9667,102.5,228.97,100,64,1.26,RU,1675823233
247,ponta do sol,32.6667,-17.1,289.1,71,36,3.46,PT,1675823056
248,tiksi,71.6872,128.8694,237.04,99,100,2.49,RU,1675823313
249,skjervoy,70.0311,20.9714,276.15,62,12,8.2,NO,1675823314
250,kizukuri,40.8061,140.3861,274.88,70,100,0.82,JP,1675823316
251,starotitarovskaya,45.2136,37.1439,268.42,82,100,12.63,RU,1675823317
252,ahuimanu,21.4447,-157.8378,299.99,78,40,7.72,US,1675823051
253,ayagoz,47.9714,80.4392,266.46,95,100,0.38,KZ,1675823319
254,hailar,49.2,119.7,252.05,100,98,1.46,CN,1675823125
255,manjacaze,-24.7117,33.8828,295.73,97,94,1.89,MZ,1675823321
256,watertown,42.3709,-71.1828,274.47,75,100,6.17,US,1675823321
257,san buenaventura,27.0833,-101.5333,293.41,36,70,3.46,MX,1675823323
258,boyuibe,-20.4167,-63.2833,292.79,95,100,0.94,BO,1675823324
